Weapon,CrimeId
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",185153
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",452389
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",516314
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",936126
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",509262
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",974063
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",680162
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",384089
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",539644
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",764215
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",415802
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",732367
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",769677
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",126630
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",921318
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",972348
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",812627
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",14653
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",509478
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",968732
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",805091
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",524362
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",107106
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",788245
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",972332
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",513094
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",970301
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",494478
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",657688
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",546753
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",636681
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",442280
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",307830
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",700713
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",428115
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",278128
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",976660
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",351583
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",973949
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",116146
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",828687
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",859064
