CrimeId,Name
448475,77th Street
58014,77th Street
244784,77th Street
209571,77th Street
976507,77th Street
769977,77th Street
547904,77th Street
780987,77th Street
160969,77th Street
379396,77th Street
825689,77th Street
274453,77th Street
392497,77th Street
540096,77th Street
409616,77th Street
979420,77th Street
936578,77th Street
768335,77th Street
771671,77th Street
121967,77th Street
791283,77th Street
22427,77th Street
309157,77th Street
731352,77th Street
343832,77th Street
445848,77th Street
233663,77th Street
702996,77th Street
800963,77th Street
813334,77th Street
403046,77th Street
635164,77th Street
973328,77th Street
964699,77th Street
25672,77th Street
311276,77th Street
699938,77th Street
738683,77th Street
490143,77th Street
480490,77th Street
702541,77th Street
756874,77th Street
671390,77th Street
328947,77th Street
102994,77th Street
174104,77th Street
971998,77th Street
16721,77th Street
950930,77th Street
546253,77th Street
205349,77th Street
931895,77th Street
276535,77th Street
695364,77th Street
366622,77th Street
278440,77th Street
26894,77th Street
554771,77th Street
736095,77th Street
417599,77th Street
429364,77th Street
470697,77th Street
691995,77th Street
929572,77th Street
897791,77th Street
103670,77th Street
974761,77th Street
979659,77th Street
86109,77th Street
977455,77th Street
607131,77th Street
461378,77th Street
977158,77th Street
590853,77th Street
593379,77th Street
694567,77th Street
708249,77th Street
847083,77th Street
527192,77th Street
326839,77th Street
294844,77th Street
713254,77th Street
476839,77th Street
290441,77th Street
612961,77th Street
135263,77th Street
71358,77th Street
322927,77th Street
153555,77th Street
591958,77th Street
7837,77th Street
43192,77th Street
620712,77th Street
774945,77th Street
662912,77th Street
85238,77th Street
747894,77th Street
723235,77th Street
882209,77th Street
37529,77th Street
840174,77th Street
151480,77th Street
27432,77th Street
349397,77th Street
580264,77th Street
250669,77th Street
859685,77th Street
604498,77th Street
798229,77th Street
574857,77th Street
287738,77th Street
787847,77th Street
613966,77th Street
972893,77th Street
97626,77th Street
444743,77th Street
50624,77th Street
581943,77th Street
82591,77th Street
786691,77th Street
761269,77th Street
106862,77th Street
790913,77th Street
770890,77th Street
5008,77th Street
825244,77th Street
878690,77th Street
905262,77th Street
578766,77th Street
228754,77th Street
181660,77th Street
625478,77th Street
865100,77th Street
643012,77th Street
573627,77th Street
964341,77th Street
973202,77th Street
858084,77th Street
65237,77th Street
711881,77th Street
580511,77th Street
73058,77th Street
