CrimeId,VictimId
842332,842332
975833,750543
465278,465278
943883,943883
947452,947452
112536,112536
369787,369787
920575,920575
884093,884093
377290,377290
446052,446052
973210,433239
930006,930006
551296,551296
863971,863971
845914,845914
70532,70532
465956,465956
287064,287064
458270,458270
369244,369244
183344,183344
611475,611475
302927,302927
285888,285888
868004,868004
925996,925996
751409,751409
173482,173482
133949,133949
587131,587131
908088,908088
338822,338822
725830,725830
410913,410913
470033,470033
186016,186016
225540,225540
152262,152262
349871,349871
682301,682301
297786,297786
807009,807009
395629,395629
764107,764107
846701,846701
698919,698919
397903,397903
644869,644869
438333,438333
168310,168310
338364,338364
613114,613114
126517,126517
728203,728203
305485,305485
4994,4994
422960,422960
72468,72468
702958,702958
376258,376258
176957,176957
292633,292633
357780,357780
942740,942740
774971,774971
754264,754264
716546,716546
70756,70756
576395,576395
392480,392480
972566,411916
823517,823517
514488,514488
420854,420854
107834,107834
615049,615049
411982,411982
333323,333323
133815,133815
829179,829179
354438,354438
476613,476613
785099,785099
288847,288847
814693,814693
106631,106631
308427,308427
162450,162450
938712,938712
726425,726425
478432,478432
12460,12460
47660,47660
452722,452722
314036,314036
589590,589590
856834,856834
401927,401927
686933,686933
921673,921673
564568,564568
930406,930406
589800,589800
190735,190735
67804,67804
54755,54755
971581,460520
306564,306564
251767,251767
950813,950813
623928,623928
643220,643220
254846,254846
500840,500840
206680,206680
250576,250576
709187,709187
605698,605698
177791,177791
454502,454502
916889,916889
972718,461437
20133,20133
889895,889895
350191,350191
713962,713962
635901,635901
963278,76274
953817,953817
898260,898260
497879,497879
241394,241394
645774,645774
146846,146846
257684,257684
848885,848885
272995,272995
559750,559750
380826,380826
417308,417308
929713,929713
391765,391765
743787,743787
75875,75875
893208,893208
464573,464573
944853,944853
383670,383670
777970,777970
209071,209071
857003,857003
886400,886400
556071,556071
951782,951782
9524,9524
811502,811502
549552,549552
183405,183405
26242,26242
54640,54640
428917,428917
280263,280263
878439,878439
693507,693507
59495,59495
210593,210593
394436,394436
698156,698156
144153,144153
208623,208623
842553,842553
809540,809540
923158,923158
123745,123745
519564,519564
247558,247558
603797,603797
895173,895173
450818,450818
510504,510504
476238,476238
703430,703430
707295,707295
791746,791746
282696,282696
549647,549647
589811,589811
272870,272870
119180,119180
510649,510649
114557,114557
255690,255690
256474,256474
1795,1795
483842,483842
350629,350629
701864,701864
311183,311183
97104,97104
681463,681463
109193,109193
972868,428395
885159,885159
979412,731184
699934,699934
979849,918437
559590,559590
844297,844297
200184,200184
472679,472679
936543,936543
343757,343757
144463,144463
382398,382398
255847,255847
385927,385927
711755,711755
158036,158036
198539,198539
228286,228286
741394,741394
730502,730502
659248,659248
739547,739547
29137,29137
926872,926872
968480,374311
781562,781562
85529,85529
918749,918749
970846,282620
451072,451072
724244,724244
485366,485366
49752,49752
335238,335238
705522,705522
239528,239528
576513,576513
827264,827264
111052,111052
429699,429699
680071,680071
521491,521491
232312,232312
284334,284334
625826,625826
595738,595738
218619,218619
24619,24619
318285,318285
272401,272401
545530,545530
595449,595449
305083,305083
154332,154332
852780,852780
893962,893962
169960,169960
340632,340632
120812,120812
279889,279889
692376,692376
821763,821763
670159,670159
755161,755161
778369,778369
667353,667353
128274,128274
503764,503764
897098,897098
636094,636094
700314,700314
935581,935581
877809,877809
413776,413776
512212,512212
792875,792875
105095,105095
147282,147282
891608,891608
936607,936607
241414,241414
850147,850147
484472,484472
450540,450540
344540,344540
180652,180652
805372,805372
642937,642937
653789,653789
705007,705007
575501,575501
224446,224446
477953,477953
815121,815121
805918,805918
480786,480786
271511,271511
890919,890919
466527,466527
940691,940691
325932,325932
374121,374121
691746,691746
443872,443872
180757,180757
864787,864787
848406,848406
176986,176986
382771,382771
322593,322593
394560,394560
394809,394809
674096,674096
348734,348734
185153,185153
96335,96335
320428,320428
558003,558003
646439,646439
562218,562218
214094,214094
907302,907302
