VictimId,Age,Gender,Ethnicity
556071,35,M,Unknown
951782,0,X,Unknown
9524,5,M,White
811502,0,X,Unknown
549552,66,F,Hispanic
183405,19,F,White
26242,1,M,Hispanic
54640,53,F,Black
428917,51,F,Black
280263,41,M,Hispanic
878439,35,M,White
693507,6,M,Black
59495,0,X,Unknown
210593,38,F,Hispanic
394436,0,X,Unknown
698156,0,X,Unknown
144153,0,X,Unknown
208623,0,X,Unknown
842553,41,F,Black
809540,38,F,Asian
923158,42,F,Asian
123745,29,M,Black
519564,39,F,Asian
247558,64,M,Hispanic
603797,42,M,Black
895173,35,M,White
450818,73,F,Other
510504,7,F,Hispanic
476238,33,F,White
703430,27,F,Hispanic
707295,0,X,Unknown
791746,12,F,Other
282696,0,X,Unknown
549647,0,X,Unknown
589811,38,F,White
272870,0,X,Unknown
119180,0,X,Unknown
510649,33,M,Hispanic
114557,31,F,Other
255690,0,M,Hispanic
256474,74,M,Hispanic
1795,24,F,Black
483842,81,F,White
350629,22,F,Black
701864,28,M,White
311183,25,F,White
97104,26,F,Hispanic
681463,24,M,Asian
109193,38,M,Hispanic
428395,56,F,Hispanic
885159,0,X,Unknown
731184,33,F,Black
699934,39,M,White
918437,39,F,Hispanic
559590,52,F,Hispanic
844297,0,X,Unknown
200184,27,F,Black
472679,41,M,White
936543,6,M,White
343757,39,M,Hispanic
144463,42,M,Hispanic
382398,27,M,Unknown
255847,18,F,Black
385927,87,F,White
711755,0,X,Unknown
158036,0,X,Unknown
198539,25,F,Hispanic
228286,53,M,White
741394,34,F,Asian
730502,0,X,Unknown
659248,0,X,Unknown
739547,16,M,Black
29137,26,M,Hispanic
926872,22,F,White
374311,11,M,Black
781562,4,F,Black
85529,0,X,Unknown
918749,0,X,Unknown
282620,0,M,Asian
451072,0,M,White
724244,3,M,Hispanic
485366,41,M,White
49752,24,F,Black
335238,28,M,Hispanic
705522,24,F,Hispanic
239528,31,M,Black
576513,59,F,Hispanic
827264,26,M,Hispanic
111052,68,M,White
429699,43,M,Other
680071,27,F,Hispanic
521491,21,F,White
232312,25,F,Hispanic
284334,28,F,Other
625826,0,X,Unknown
595738,23,M,White
218619,29,M,White
24619,3,M,Hispanic
318285,26,M,White
272401,34,M,Black
545530,32,F,Hispanic
595449,0,X,Unknown
305083,0,X,Unknown
154332,33,F,White
852780,25,F,Black
893962,0,F,Asian
169960,24,F,White
340632,36,M,White
120812,63,M,Black
279889,27,M,Hispanic
692376,0,X,Unknown
821763,52,M,White
670159,33,F,Hispanic
755161,42,M,White
778369,34,F,Black
667353,23,F,Other
128274,33,F,Hispanic
503764,28,M,Black
897098,34,F,Asian
636094,55,M,Asian
700314,55,M,White
935581,42,F,Hispanic
877809,66,M,Other
413776,0,X,Unknown
512212,27,F,Other
792875,37,M,Other
105095,0,X,Unknown
147282,35,F,Black
891608,37,F,Black
936607,64,M,Hispanic
241414,3,F,Hispanic
850147,39,M,Black
484472,0,X,Unknown
450540,0,X,Unknown
344540,31,F,Other
180652,49,F,White
805372,0,X,Unknown
642937,24,F,Hispanic
653789,53,F,Black
705007,51,F,White
575501,26,F,Black
224446,0,M,Other
477953,48,M,Other
815121,0,X,Unknown
805918,47,M,Other
480786,23,M,Black
271511,63,F,Hispanic
890919,36,F,White
466527,14,M,Black
940691,3,F,White
325932,67,M,Black
374121,16,F,Black
691746,32,F,Other
443872,0,M,White
180757,4,F,White
864787,4,M,Other
848406,47,F,Hispanic
176986,28,F,Black
382771,22,F,Hispanic
322593,69,M,Hispanic
394560,32,M,White
394809,88,F,Black
674096,0,X,Unknown
348734,0,X,Unknown
185153,29,M,Black
96335,36,F,Black
320428,71,M,White
558003,56,M,Hispanic
646439,68,M,Asian
562218,26,M,White
214094,41,F,White
907302,0,X,Unknown
608942,0,X,Unknown
214654,26,F,Other
955199,0,M,White
452389,44,F,Asian
516314,34,M,Hispanic
408056,32,M,Hispanic
854445,4,F,Hispanic
199936,32,M,Black
936126,27,F,White
515685,0,X,Unknown
773127,36,M,Hispanic
667480,42,M,Hispanic
790228,31,M,Hispanic
509262,55,M,Other
785445,0,X,Unknown
463978,23,F,Black
580941,63,M,White
709391,36,F,Hispanic
327822,56,F,Hispanic
755325,53,F,Other
923204,35,F,Black
23375,3,M,Hispanic
355239,24,F,Hispanic
298984,4,M,White
814255,26,M,White
725176,0,X,Unknown
345333,48,M,Black
948438,0,X,Unknown
216270,0,X,Unknown
680162,25,F,Hispanic
443078,0,X,Unknown
349848,28,M,Black
129976,5,M,Hispanic
384089,36,F,Other
367274,63,M,Hispanic
895991,0,X,Unknown
423816,54,F,Hispanic
725453,0,X,Unknown
539644,0,F,Other
574934,0,X,Unknown
731977,28,M,Hispanic
