CrimeId,Type,Subtype
392200,BURGLARY,BURGLARY FROM VEHICLE
551534,ASSAULT,BATTERY - SIMPLE ASSAULT
849363,ASSAULT,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
241002,ASSAULT,BATTERY - SIMPLE ASSAULT
218818,CRIMINAL THREATS - NO WEAPON DISPLAYED,CRIMINAL THREATS - NO WEAPON DISPLAYED
247098,BURGLARY,BURGLARY
962141,ASSAULT,INTIMATE PARTNER - AGGRAVATED ASSAULT
979842,ASSAULT,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
322206,VIOLATION OF RESTRAINING ORDER,VIOLATION OF RESTRAINING ORDER
947786,THEFT,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
560346,THEFT,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
233905,BURGLARY,BURGLARY FROM VEHICLE
378445,ASSAULT,INTIMATE PARTNER - SIMPLE ASSAULT
954246,ROBBERY,ROBBERY
700954,THEFT,THEFT OF IDENTITY
297353,ROBBERY,ROBBERY
101494,THEFT,SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
469092,ASSAULT,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
612902,THEFT,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
54489,ASSAULT,BATTERY - SIMPLE ASSAULT
185742,THEFT,"THEFT, PERSON"
306509,THEFT,THEFT OF IDENTITY
404902,ASSAULT,BATTERY - SIMPLE ASSAULT
144363,BURGLARY,BURGLARY
319464,THEFT,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
155331,THEFT,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01"
538669,THEFT,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
344071,ASSAULT,INTIMATE PARTNER - SIMPLE ASSAULT
774621,VEHICLE STOLEN,VEHICLE - STOLEN
978504,BATTERY ON A FIREFIGHTER,BATTERY ON A FIREFIGHTER
838630,THEFT,THEFT PLAIN - PETTY ($950 & UNDER)
66952,VEHICLE STOLEN,BIKE - STOLEN
532451,THEFT,THEFT PLAIN - PETTY ($950 & UNDER)
562640,VIOLATION OF RESTRAINING ORDER,VIOLATION OF RESTRAINING ORDER
924488,VANDALISM,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
67226,VEHICLE STOLEN,VEHICLE - STOLEN
550121,THEFT,THEFT OF IDENTITY
627634,DISTURBING THE PEACE,DISTURBING THE PEACE
499536,THEFT,THEFT OF IDENTITY
799032,SEXUAL CRIME,OTHER MISCELLANEOUS CRIME
165884,VEHICLE STOLEN,VEHICLE - STOLEN
445265,BURGLARY,BURGLARY
850726,ASSAULT,BATTERY - SIMPLE ASSAULT
368549,VEHICLE STOLEN,VEHICLE - STOLEN
93797,VANDALISM,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
80275,BURGLARY,BURGLARY FROM VEHICLE
976843,ASSAULT,BATTERY - SIMPLE ASSAULT
240835,THEFT,"THEFT, PERSON"
312943,ASSAULT,BATTERY - SIMPLE ASSAULT
574463,THEFT,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
666420,DOCUMENT CRIME,DOCUMENT WORTHLESS ($200.01 & OVER)
832564,CRIMINAL THREATS - NO WEAPON DISPLAYED,CRIMINAL THREATS - NO WEAPON DISPLAYED
738298,THEFT,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
465666,THEFT,THEFT OF IDENTITY
470948,VANDALISM,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
221748,THEFT,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
209141,VEHICLE STOLEN,VEHICLE - STOLEN
974382,ASSAULT,BATTERY - SIMPLE ASSAULT
701530,SEXUAL CRIME,ORAL COPULATION
186651,THEFT,THEFT PLAIN - PETTY ($950 & UNDER)
168359,"TELEPHONE CALLS, LEWD OR THREATENING","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
581131,BURGLARY,BURGLARY
810061,ASSAULT,BATTERY - SIMPLE ASSAULT
653957,BURGLARY,BURGLARY
825186,ASSAULT,BATTERY - SIMPLE ASSAULT
19525,VANDALISM,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
536361,THEFT,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
618473,CRIMINAL THREATS - NO WEAPON DISPLAYED,CRIMINAL THREATS - NO WEAPON DISPLAYED
573062,THEFT,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
395322,BURGLARY,BURGLARY
144890,BURGLARY,BURGLARY
124758,CRIME ON CHILD,CHILD STEALING
483840,ASSAULT,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
105685,THEFT,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
475940,BURGLARY,BURGLARY
756832,THEFT,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
