CrimeId,StreetId,DateTime
936104,3RD,2024-01-17T01:20:00Z
468775,WILCOX,2022-06-04T23:00:00Z
384331,WILCOX,2021-07-19T15:00:00Z
637936,WILCOX,2022-03-08T22:00:00Z
64743,WILCOX,2020-09-09T13:30:00Z
193328,WILCOX,2020-06-24T07:25:00Z
414571,WILCOX,2022-09-25T21:20:00Z
788815,WILCOX,2023-07-19T18:35:00Z
5717,WILCOX,2020-01-26T20:00:00Z
22805,105TH ST,2020-11-26T11:20:00Z
971761,105TH ST,2022-03-06T22:30:00Z
964369,105TH ST,2020-05-08T18:30:00Z
262805,105TH ST,2021-03-06T07:00:00Z
432501,105TH ST,2022-11-30T01:50:00Z
570003,105TH ST,2022-01-17T05:07:00Z
25633,6500 MOORCROFT AV,2020-10-15T01:00:00Z
178526,6500 MOORCROFT AV,2020-10-30T21:00:00Z
138259,6600 W 5TH ST,2020-10-28T08:00:00Z
816527,6600 W 5TH ST,2023-10-21T19:30:00Z
330060,87TH ST,2021-01-25T18:30:00Z
34940,87TH ST,2020-11-22T17:00:00Z
367607,87TH ST,2021-07-29T21:00:00Z
11049,87TH ST,2020-04-19T11:10:00Z
597562,87TH ST,2022-10-24T19:00:00Z
805212,21000 SHERMAN WY,2023-12-18T13:30:00Z
233632,21000 SHERMAN WY,2021-10-07T17:00:00Z
975370,21000 SHERMAN WY,2023-01-12T11:45:00Z
172061,21000 SHERMAN WY,2020-09-12T21:10:00Z
498470,21000 SHERMAN WY,2022-09-28T03:14:00Z
270118,4100 W WASHINGTON BL,2021-05-09T21:30:00Z
374921,4100 W WASHINGTON BL,2021-07-08T13:30:00Z
839278,4100 W WASHINGTON BL,2023-04-07T11:45:00Z
580974,4100 W WASHINGTON BL,2022-10-14T22:30:00Z
975809,4100 W WASHINGTON BL,2023-02-21T15:13:00Z
540883,4100 W WASHINGTON BL,2022-05-15T09:50:00Z
246039,20900 GRESHAM ST,2021-03-31T02:30:00Z
838458,20900 GRESHAM ST,2023-05-16T22:40:00Z
15724,20900 GRESHAM ST,2020-02-02T20:00:00Z
